TABC Certificate Number,Permit/License Number,Brand Name,Type,Approval Date,Trade Name,Alcohol Content by Volume,TTB Number,File Link
1040241,S998478,L. HUYGHE 2018 DELIRIUM BLACK ALE AGED I,MALT BEVERAGE,12/17/2018,L. HUYGHE,11.5,18337001000834,https://storage.googleapis.com/tabc-public-labels/c1af30db1022e8bf32f20613c24cd35a.pdf
1104120,S998478,L. HUYGHE DELIRIUM BARREL AGED BLACK BELGIAN ALE,MALT BEVERAGE,12/17/2020,L. HUYGHE,11.5,20247001000548,https://storage.googleapis.com/tabc-public-labels/566f23409821f69679672619c354d870.pdf
1045859,S918423,LA BELLA ROSE 'EXTRA DRY' SPARKLING WINE,WINE,02/27/2019,LA DELIZIA WINES LTD.,11.5,18098001000265,https://storage.googleapis.com/tabc-public-labels/05ba2e728bbfe778ce8cd7e2ce5e4757.pdf
902909,S504830,LA CAPLANA,WINE,03/27/2015,MASCIARELLI WINE COMPANY,11.5,2259003000185,https://storage.googleapis.com/tabc-public-labels/b5f95dc9fce7c3181497a01d26836700.pdf
938287,S760863,LA CHENAYE (USE-UP),WINE,03/18/2016,FLEUR DE LA IMPORTS,11.5,9082001000289,https://storage.googleapis.com/tabc-public-labels/ed73a9ec4d2b8082cc9958fdc44b8e0d.pdf
715096,S618214,LA COLOMBE D'ORBRUT,WINE,02/18/2009,CAVES DE GRENELLE,11.5,4204001000009,https://storage.googleapis.com/tabc-public-labels/32637b94aec05fde9bf8dcc8fa1f1f70.pdf
1098049,S223316,LA COLOMBETTE SOUVIGNIER GRIS MUSCARIS FRANCE,WINE,10/05/2020,LIONSTONE INTERNATIONAL,11.5,20220001000081,https://storage.googleapis.com/tabc-public-labels/c0ef1a696a7533b26a63ff05dda3234e.pdf
1131713,S770434,LA COMBE AUX REVES BREF DE COMPTOIR CHASSELAS BLANC FRANCE,WINE,09/10/2021,T. ELENTENY IMPORTS,11.5,21093001000231,https://storage.googleapis.com/tabc-public-labels/9cfe10bfc6efacf0d18edd3e266722cc.pdf
1131707,S770434,LA COMBE AUX REVES LA GRENADINE ROSE SPARKLING WINE FRANCE,WINE,09/10/2021,T. ELENTENY IMPORTS,11.5,20130001000212,https://storage.googleapis.com/tabc-public-labels/df430acd0c4e8fab82e4794891b23ae7.pdf
713835,S155148,LA CONSULTA,WINE,02/03/2009,WORLD IMPORT COMPANY,11.5,8077001000114,https://storage.googleapis.com/tabc-public-labels/16db446cafb1ffb1466e71eaf97a4f49.pdf
864143,S783060,LA CROIX DE MAUNAY,WINE,02/18/2014,LATITUDE WINES INC.,11.5,13344001000445,https://storage.googleapis.com/tabc-public-labels/1267a221cae11cce77266f9384371740.pdf
794457,S788999,LA CRUSSET-SIERRA SELECTION BRUT RESERVA,WINE,01/09/2012,CELLERS UNITS SL B-65121154,11.5,11304002000019,https://storage.googleapis.com/tabc-public-labels/f9c64044781c1ef0bc36d3b6e78a35fe.pdf
933038,S909227,LA ESCAPADA,WINE,01/27/2016,LONG WINES S.L.,11.5,15120001000581,https://storage.googleapis.com/tabc-public-labels/b0df196c0f4d2de682647a5b9cb3474d.pdf
938169,S916435,LA FLEUR BELLE VIGNE,WINE,03/17/2016,T. EDWARD WINES LTD,11.5,12163001000303,https://storage.googleapis.com/tabc-public-labels/8c76def7b4eb1dfabe91db59b59a016f.pdf
602104,S529064,LA FRANCESCA,WINE,07/26/2005,DEUTSCH FAMILY WINE & SPIRITS,11.5,05040003000079 - expires 9/1/2005,https://storage.googleapis.com/tabc-public-labels/432e77cb3da2548ca47dcb87350c8e8a.pdf
1001081,S556227,LA FRANCETTE,WINE,11/30/2017,PLUME RIDGE,11.5,17303001000409,https://storage.googleapis.com/tabc-public-labels/60584daad83be952f5038c83330e19d2.pdf
978540,S223316,LA FRASCHETTA,WINE,04/11/2017,LIONSTONE INTERNATIONAL,11.5,17076001000722,https://storage.googleapis.com/tabc-public-labels/810003a71fd46abc481d76fc06941a5f.pdf
